"count___no_feature" "count___ambiguous" "count___too_low_aQual" "count___not_aligned" "count___alignment_not_unique" "with0_0%" "with0_25%" "with0_50%" "with0_75%" "with0_100%" "wo0_with0_0%" "wo0_with0_25%" "wo0_with0_50%" "wo0_with0_75%" "wo0_with0_100%" "tot" "zeros" "proc_count___no_feature" "proc_count___ambiguous" "proc_count___too_low_aQual" "proc_count___not_aligned" "proc_count___alignment_not_unique"
"X16841.tab" 151011 816272 0 0 0 0 0 95 754 470977 1 71 411 1240 470977 36827036 10320 0.00410054721753877 0.0221650202856401 0 0 0
"X16842.tab" 140092 721205 0 0 0 0 0 103 693 397730 1 73 384 1112.75 397730 33810118 10140 0.00414349337674598 0.02133104060743 0 0 0
"X16843.tab" 106583 563560 0 0 0 0 0 66 524 408446 1 56 294 864 408446 26734060 10659 0.00398678689282511 0.0210802250013653 0 0 0
"X16844.tab" 110836 676806 0 0 0 0 0 83 653 433579 1 62 352 1062 433579 31834467 10324 0.00348163517234323 0.0212601643369748 0 0 0
"X16845.tab" 137622 722311 0 0 0 0 0 96 722 434663 1 74 395 1165.75 434663 34225283 10364 0.00402106244088617 0.0211046026997059 0 0 0
"X16846.tab" 121977 767397 0 0 0 0 0 102 751 469717 1 70 402 1187 469717 36420545 10024 0.00334912615942458 0.0210704425208354 0 0 0
"X16847.tab" 145082 870920 0 0 0 0 0 123 847 524007 1 83 456 1324 524007 41392820 9937 0.00350500400794147 0.0210403640051584 0 0 0
"X16848.tab" 177031 979218 0 0 0 0 0 118 929 610813 1 85 494 1502.75 610813 45590959 10180 0.00388302865048309 0.0214783374045718 0 0 0
"X18698.tab" 355627 1216561 0 0 0 0 0 103 957 616159 1 62 453 1529 616159 49314523 9665 0.00721140504593343 0.0246694264892312 0 0 0
"X18699.tab" 299653 1325532 0 0 0 0 0 108 996 720313 1 62 471 1594 720313 52864076 9575 0.00566836730485935 0.0250743434917883 0 0 0
"X18700.tab" 265473 940533 0 0 0 0 0 90 843 378271 1 54 397 1361 378271 43263519 9597 0.00613618600927955 0.02173963241409 0 0 0
"X18701.tab" 334247 971692 0 0 0 0 0 81 812 392935 1 52 381 1337 392935 42867991 9727 0.00779712303289417 0.0226670757675581 0 0 0
"X18702.tab" 342101 1143264 0 0 0 0 0 96 1037 778923 1 58 480 1666 778923 52539320 9707 0.00651133284557166 0.0217601598193505 0 0 0
"X18703.tab" 296341 1106594 0 0 0 0 0 115 1041 774173 1 64 485 1634 774173 51598112 9429 0.00574325277638065 0.021446404860705 0 0 0
"X18705.tab" 221762 944262 0 0 0 0 0 68 795 373733 1 41 364 1330 373733 40383502 9797 0.00549140091911791 0.0233823703551019 0 0 0
"X18706.tab" 353660 1123130 0 0 0 0 0 119 968.75 849818 1 66 471 1491 849818 48991378 9411 0.00721882123830034 0.0229250542820004 0 0 0
"X18707.tab" 264790 929296 0 0 0 0 0 110 896 880310 1 67 465 1360.25 880310 44191610 9794 0.00599186135105736 0.0210287880437033 0 0 0
"X18708.tab" 307169 1047082 0 0 0 0 0 128 916 736015 1 67 444 1395 736015 46786023 9173 0.00656540095318638 0.0223802309505982 0 0 0
"X18709.tab" 280593 1077017 0 0 0 0 0 114.5 980 983728 1 66 489 1485 983728 50216884 9642 0.00558762268084973 0.0214473084391298 0 0 0
